YEAR,MO,DY,HR,RH2M,SZA,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,PRECTOTCORR,Effeciency,Power Output
2020,1,16,12,72.58,62.57,458,523.03,-12.4,0,8.88,46.45
2020,1,16,13,71.07,64.41,259.5,478.75,-11.38,0,5.14,24.61
2020,1,16,14,70.32,69.03,216.38,382.85,-10.73,0,4.43,16.97
2020,1,16,15,72.26,75.93,130.15,241.05,-10.62,0,2.87,6.92
2020,1,16,16,74.4,84.47,37.9,75.07,-11.36,0,1.06,0.8
2020,1,16,17,75.15,90,0,0,-12.23,0,0,0
2020,1,16,18,76.96,90,0,0,-12.49,0,0,0
2020,1,16,19,78.32,90,0,0,-12.57,0,0,0
2020,1,16,20,80.31,90,0,0,-12.63,0,0,0
2020,1,16,21,83.11,90,0,0,-13.12,0,0,0
2020,1,16,22,88.3,90,0,0,-13.9,0,0,0
2020,1,16,23,91.41,90,0,0,-14.29,0,0,0
2020,1,17,0,95.04,90,0,0,-14.51,0,0,0
2020,1,17,1,96.18,90,0,0,-14.23,0,0,0
2020,1,17,2,94.08,90,0,0,-13.01,0,0,0
2020,1,17,3,92.08,90,0,0,-11.87,0,0,0
2020,1,17,4,90.49,90,0,0,-11.25,0.04,0,0
2020,1,17,5,89.59,90,0,0,-10.64,1.41,0,0
2020,1,17,6,88.82,90,0,0,-9.99,1.34,0,0
2020,1,17,7,88.59,90,0,0,-9.14,6,0,0
2020,1,17,8,90.02,82.1,32.53,98.68,-8.36,12.96,0.96,0.95
2020,1,17,9,91.07,74.23,107.75,244,-7.47,37.26,2.54,6.19
2020,1,17,10,92.35,67.73,172.85,370.73,-6.51,51.81,3.71,13.76
2020,1,17,11,93.24,63.61,265.88,452.42,-5.67,49.69,5.46,24.72
2020,1,17,12,93.72,62.38,206.8,470.92,-4.9,39.06,4.24,19.98
2020,1,17,13,93.62,64.2,225.8,432.23,-4.2,31.12,4.72,20.42
2020,1,17,14,94.12,68.82,167.68,336.9,-3.83,20.89,3.73,12.56
2020,1,17,15,94.55,75.72,98.15,197.93,-3.68,17.02,2.53,5.01
